"ID"	"State"	"InitialState"
"Control"	"S01"	"IS05"
"RNA_Control_Cal33"	"S01"	"IS05"
"RNA_J_03_U_T_PT"	"S01"	"IS05"
"RNA_J_08_U_T_PT"	"S01"	"IS05"
"RNA_J_19_U_T_PT"	"S01"	"IS05"
"RNA_J_22_U_T_PT"	"S01"	"IS05"
"RNA_J_31_M_T_PT"	"S01"	"IS05"
"RNA_J_37_M_T_PT"	"S01"	"IS05"
"RNA_LMU_KKG_05_PT"	"S01"	"IS05"
"RNA_LMU_KKG_10_PT"	"S01"	"IS05"
"RNA_LMU_KKG_12_PT"	"S01"	"IS05"
"RNA_LMU_KKG_13_Rez"	"S01"	"IS05"
"RNA_LMU_KKG_21_Rez"	"S01"	"IS05"
"RNA_LMU_KKG_ADJ_15"	"S01"	"IS05"
"RNA_LMU_KKG_ADJ_19"	"S01"	"IS05"
"RNA_LMU_KKG_ADJ_27"	"S01"	"IS05"
"RNA_LMU_KKG_ADJ_35"	"S01"	"IS05"
"RNA_LMU_KKG_ADJ_39"	"S01"	"IS05"
"RNA_LMU_KKG_ADJ_40"	"S01"	"IS05"
"RNA_LMU_KKG_ADJ_46"	"S01"	"IS05"
"RNA_LMU_KKG_ADJ_59"	"S01"	"IS05"
"RNA_LMU_KKG_ADJ_61"	"S01"	"IS05"
"RNA_LMU_KKG_ADJ_70"	"S01"	"IS05"
"RNA_LMU_KKG_ADJ_75"	"S01"	"IS05"
"RNA_Lue_03_Rez_1"	"S01"	"IS05"
"RNA_Lue_05_Rez_2"	"S01"	"IS05"
"RNA_Lue_14_Rez_1"	"S01"	"IS05"
"RNA_Lue_15_PT"	"S01"	"IS05"
"RNA_Lue_15_Rez_1"	"S01"	"IS05"
"RNA_J_35_M_T_PT"	"S02"	"IS04"
"RNA_J_36_M_T_PT"	"S02"	"IS04"
"RNA_LMU_KKG_10_Rez"	"S02"	"IS04"
"RNA_LMU_KKG_ADJ_72"	"S02"	"IS04"
"RNA_J_38_M_T_PT"	"S03"	"IS07"
"RNA_LMU_KKG_01_PT"	"S03"	"IS07"
"RNA_LMU_KKG_05_Rez"	"S03"	"IS07"
"RNA_LMU_KKG_08_Rez"	"S03"	"IS07"
"RNA_LMU_KKG_09_Rez"	"S03"	"IS07"
"RNA_LMU_KKG_14_Rez"	"S03"	"IS07"
"RNA_LMU_KKG_16_PT"	"S03"	"IS07"
"RNA_LMU_KKG_16_Rez"	"S03"	"IS07"
"RNA_LMU_KKG_17_Rez"	"S03"	"IS07"
"RNA_LMU_KKG_ADJ_02"	"S03"	"IS07"
"RNA_LMU_KKG_ADJ_04"	"S03"	"IS07"
"RNA_LMU_KKG_ADJ_22"	"S03"	"IS07"
"RNA_LMU_KKG_ADJ_24"	"S03"	"IS07"
"RNA_LMU_KKG_ADJ_26"	"S03"	"IS07"
"RNA_LMU_KKG_ADJ_32"	"S03"	"IS07"
"RNA_LMU_KKG_ADJ_38"	"S03"	"IS07"
"RNA_LMU_KKG_ADJ_41"	"S03"	"IS07"
"RNA_LMU_KKG_ADJ_43"	"S03"	"IS07"
"RNA_LMU_KKG_ADJ_54"	"S03"	"IS07"
"RNA_LMU_KKG_ADJ_56"	"S03"	"IS07"
"RNA_LMU_KKG_ADJ_63"	"S03"	"IS07"
"RNA_LMU_KKG_ADJ_73"	"S03"	"IS07"
"RNA_LMU_KKG_ADJ_76"	"S03"	"IS07"
"RNA_Lue_02_Rez_1"	"S03"	"IS07"
"RNA_Lue_02_Rez_2"	"S03"	"IS07"
"RNA_Lue_04_PT"	"S03"	"IS07"
"RNA_Lue_04_Rez_1"	"S03"	"IS07"
"RNA_Lue_05_Rez_1"	"S03"	"IS07"
"RNA_Lue_07_PT"	"S03"	"IS07"
"RNA_Lue_07_Rez_1"	"S03"	"IS07"
"RNA_Lue_08_PT"	"S03"	"IS07"
"RNA_Lue_10_Rez_1"	"S03"	"IS07"
"RNA_Lue_10_Rez_2"	"S03"	"IS07"
"RNA_Lue_11_PT"	"S03"	"IS07"
"RNA_Lue_12_Rez_1"	"S03"	"IS07"
"RNA_Lue_16_PT"	"S03"	"IS07"
"RNA_Lue_16_Rez_1"	"S03"	"IS07"
"RNA_Lue_17_PT"	"S03"	"IS07"
"RNA_Lue_17_Rez_1"	"S03"	"IS07"
"RNA_J_32_M_T_PT"	"S04"	"IS08"
"RNA_LMU_KKG_ADJ_09"	"S04"	"IS08"
"RNA_LMU_KKG_ADJ_28"	"S04"	"IS08"
"RNA_LMU_KKG_ADJ_49"	"S04"	"IS08"
"RNA_LMU_KKG_ADJ_52"	"S04"	"IS08"
"RNA_LMU_KKG_ADJ_55"	"S04"	"IS08"
"RNA_LMU_KKG_ADJ_69"	"S04"	"IS08"
"RNA_Lue_01_PT"	"S04"	"IS08"
"RNA_J_10_U_T_PT"	"S05"	"IS01"
"RNA_J_33_M_T_PT"	"S05"	"IS01"
"RNA_LMU_KKG_06_PT"	"S05"	"IS01"
"RNA_LMU_KKG_15_Rez"	"S05"	"IS01"
"RNA_LMU_KKG_ADJ_03"	"S05"	"IS01"
"RNA_LMU_KKG_ADJ_05"	"S05"	"IS01"
"RNA_LMU_KKG_ADJ_17"	"S05"	"IS01"
"RNA_LMU_KKG_ADJ_20"	"S05"	"IS01"
"RNA_LMU_KKG_ADJ_21"	"S05"	"IS01"
"RNA_LMU_KKG_ADJ_25"	"S05"	"IS01"
"RNA_LMU_KKG_ADJ_47"	"S05"	"IS01"
"RNA_LMU_KKG_ADJ_50"	"S05"	"IS01"
"RNA_LMU_KKG_ADJ_51"	"S05"	"IS01"
"RNA_LMU_KKG_ADJ_74"	"S05"	"IS01"
"RNA_LMU_KKG_11_Rez"	"S06"	"IS03"
"RNA_LMU_KKG_20_Rez"	"S06"	"IS03"
"RNA_LMU_KKG_ADJ_10"	"S06"	"IS03"
"RNA_LMU_KKG_ADJ_13"	"S06"	"IS03"
"RNA_LMU_KKG_ADJ_14"	"S06"	"IS03"
"RNA_LMU_KKG_ADJ_34"	"S06"	"IS03"
"RNA_Lue_06_Rez_1"	"S06"	"IS03"
"RNA_Lue_09_Rez_1"	"S06"	"IS03"
"RNA_Lue_12_PT"	"S06"	"IS03"
